AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,COMP_CODE,LIGHTACTV,LIGHTINTNS
656D38F0-F1FE-49A8-AB4F-677281616EF8,23-May,7790,200,ASPH,2,LIH
F39AFCD2-D07F-4F41-96CF-08B79A271EAB,22-Apr,3120,50,GRAVE,,
C0EE48D3-E3AD-404E-945D-F404E345020D,19-Jan,3300,60,GRAVE,2,LIM
26D96486-FA29-4866-93EB-2EEEB7FA7144,E/W,5000,300,WATER,,
26D96486-FA29-4866-93EB-2EEEB7FA7144,NW/SE,5000,300,WATER,,
C7DF2896-135E-487B-9172-2FF613E7EAF1,21-Mar,3200,76,GRAVE,2,LIM
81424AAF-E13A-4719-AD36-D26A582192AB,E/W,10000,300,WATER,,
2441EA57-02E3-47E2-AC9C-1DC54444A884,27-Sep,4500,75,ASPH,2,LIM
978B7D5B-2C47-4B0F-BFBA-63975F26AD11,16/34,4000,75,GRAVE,2,LIM
C3052BE5-3177-4343-9D5A-42B0046D57EE,29-Nov,1250,300,TURF+GRVL,,
C3052BE5-3177-4343-9D5A-42B0046D57EE,18/36,850,300,GRAVE,,
EA0EB415-23A2-412F-9363-CA84BDB2F0E0,E/W,10000,300,WATER,,
2C8B7528-C454-4E05-ADEB-95C97327C0A0,15/33,2030,60,GRAVE,,
EA527207-EE57-4E6A-863D-605CFA1D51D3,21-Mar,1400,300,GRAVE,,
EA527207-EE57-4E6A-863D-605CFA1D51D3,27-Sep,1500,300,GRAVE,,
B1FD2D53-992B-4DD4-B272-F07D86BA8405,23-May,4000,100,GRAVE,2,LIM
480EB429-A082-44D1-9AFA-3B817200BD30,20-Feb,1500,70,TURF+GRVL,,
68F26B27-8421-4403-936D-93FB092E4899,N/S,8000,300,WATER,,
569F20D9-24AD-40DB-A567-78B31DFFCF57,20-Feb,4800,100,GRAVE,2,LIM
BC3FB71D-8FBB-45DD-8BCE-AE2333276A0D,20-Feb,5000,300,GRAVE,,
5D09E895-1187-4D4D-87BD-791CEEA5838D,H1,60,60,ASPH,0,LIM
EFE165A5-F552-4F56-9DF0-C074CEAEDE93,24-Jun,1600,300,GRAVE,,
EFE165A5-F552-4F56-9DF0-C074CEAEDE93,07W/25W,4000,300,WATER,,
00C527EC-A14C-4680-8933-59FC7A8F1755,H1,50,50,ASPH,,
6BC28EA2-1C71-4616-97D6-F7D40BDC638E,H1,175,175,ASPH,2,OTHER
34C073E9-BFF3-4CA6-BA78-3D5BBCA49C98,19-Jan,3000,300,GRAVE,,
70E333B1-AF27-4835-8A5F-6C1C94685D02,H1,100,90,OTHER,,
EA5E2B24-43BE-4A5B-BA03-4E1F7414C91F,27-Sep,1200,300,GRAVE,,
4318B9AE-C571-49BF-9FB5-E951A7202FEC,13/31,1078,300,GRASS,,
B091338B-141C-4523-8330-DA08826B2228,14/32,1000,300,GRAVE,,
39B50599-6534-4E52-BDA7-6C8A645F3C1D,H1,30,30,GRASS,0,OTHER
CA90C6A3-90FD-4C04-8E4B-FD74F6A2BE05,07L/25R,10600,150,ASPH,,LIH
CA90C6A3-90FD-4C04-8E4B-FD74F6A2BE05,25L,12400,200,CONC+ASPH,0,LIH
CA90C6A3-90FD-4C04-8E4B-FD74F6A2BE05,15/33,10865,200,ASPH,0,LIH
5A1DF744-0E16-4402-842D-3B664BA955AB,23-May,2000,60,ASP+GRVL,2,
5A1DF744-0E16-4402-842D-3B664BA955AB,25-Jul,4000,100,ASPH,2,LIM
5A1DF744-0E16-4402-842D-3B664BA955AB,16/34,2640,75,ASPH,2,LIM
FC0BEEC4-8E4B-47DE-8DE4-BEFB30DD5DD5,06W/24W,4000,300,WATER,,
580545A5-09BD-4FE7-BC4B-278862D4AD7A,24-Jun,10000,200,ASPH,0,LIH
580545A5-09BD-4FE7-BC4B-278862D4AD7A,16/34,7493,150,ASPH,,LIH
351E4808-BE7F-42B4-84BE-684ED0059BFD,H1,50,50,ASPH,3,OTHER
AA363541-A462-4B2F-856B-4611B54D477D,18/36,2000,300,GRAVE,,
C846683F-6FA0-40BD-9BD0-F26AFEE81DB3,16/34,1800,300,GRAVE,,
64268E97-3440-48AB-B1CB-854D60A1D5ED,17/35,4088,100,ASPH,2,LIM
AD1D9FBD-C521-48F5-B18D-9C38C7054863,16/34,1400,300,DIRT,,
0C72321A-B031-4AD9-B791-01AE780ABF17,17/35,2000,300,GRAVE,,
3D8493D7-C179-429C-9836-FFC8F5B59FFE,16/34,2500,300,GRAVE,,
E4E55EA8-66BE-4080-BFF4-D4BCAFC39D57,N/S,2500,300,GRAVE,,
9154FBBB-1EDC-46D8-A74C-51E0A073EEDE,NW/SE,10000,300,WATER,,
E7935C52-91CB-44C9-A3EE-161B1E35247C,05W/23W,3000,300,WATER,2,
58E8C717-5D65-4959-B3C0-5DF54CCA7706,20-Feb,5709,150,GRAVE,,
58E8C717-5D65-4959-B3C0-5DF54CCA7706,30-Dec,7493,150,ASPH,,
9EE07136-A478-4410-9F7E-604EE96EC993,NW/SE,10560,300,WATER,,
903040B6-B962-4622-BA61-3754CF5F92E6,17/35,4000,75,GRAVE,2,LIM
442D7C6A-E8A5-472C-BF0F-CF45E06EEAF3,E/W,2000,300,WATER,,
06838CEE-3614-430C-80A3-0D92D5DB65A9,20-Feb,4500,75,GRAVE,2,LIM
0903F0CC-E601-488E-92BE-03D76AA630BC,16/34,4500,100,ASPH,0,LIM
3E7FEF08-5FD2-43D8-AD5D-E25F6A98C8A4,15/33,3000,75,GRAVE,2,LIM
BF8ECCDF-1ED2-45AC-89FE-5120C73AC6D2,24-Jun,4370,90,GRAVE,2,LIM
B80A5BF5-9F1E-4CFA-AAF1-2F50D4F1B73D,20-Feb,5998,150,ASPH,3,
38542950-FA0F-4F0B-B64A-4D514CE124EE,E/W,10000,300,WATER,,
28BF17D3-A924-46F2-9230-4AB8A036C316,25-Jul,7100,150,ASPH,3,LIH
2A702634-A58C-4708-AA2B-D4BB17E8B59E,25-Jul,4500,100,GRAVE,2,LIM
8ADA92D4-A86D-46FC-90C8-0DD77A08D76F,NW/SE,10000,300,WATER,,
EF70047D-004C-4350-B5A9-51D25B8E6E7D,16/34,2000,60,GRAVE,,
0C7602A4-08EF-4BFE-AA65-1075D855EBAF,28-Oct,1400,300,GRAVE,,
FD85CB3B-92BF-4707-BB48-75679D0C829B,15/33,1800,300,TURF+DIRT,,
2A6E79FE-8D6E-4B53-AE77-5AC1300B5D06,27-Sep,1325,300,GRAVE,,
2A6E79FE-8D6E-4B53-AE77-5AC1300B5D06,18/36,820,300,GRAVE,,
2FCE989C-E4FA-469E-B292-276FB855191E,23-May,3934,75,GRAVE,2,LIM
EDB97F34-CED9-4776-A5B2-AC40770BB43A,NE/SW,10600,300,WATER,,
E9437172-BF19-4102-80B4-FBCB363C15B8,19-Jan,5002,100,GRAVE,2,LIM
E9437172-BF19-4102-80B4-FBCB363C15B8,27-Sep,2505,60,GRAVE,2,LIM
C758F1C5-117A-4398-A013-6462CBC2CEDE,N/S,2600,300,WATER,,
5E741FE5-4B25-4825-802B-784C4C991686,NE/SW,3000,300,WATER,,
C6ED3B28-0D5A-42D2-B3EC-4F17BE9A60FE,01L/19R,6400,150,ASPH,2,LIH
C6ED3B28-0D5A-42D2-B3EC-4F17BE9A60FE,01R/19L,4000,75,ASPH,2,LIH
C6ED3B28-0D5A-42D2-B3EC-4F17BE9A60FE,30-Dec,1858,75,GRAVE,2,LIM
F796B7A6-142D-4C5A-BA18-5BE87E34FE88,09W/27W,3400,300,WATER,,
E733F91E-4E75-4943-87C2-12BCDC2B4917,21-Mar,675,300,GRAVE,,
1A25100F-C363-4F54-B458-AB0DFE81262E,11W/29W,3800,300,WATER,,
9E7FD8B5-3676-4326-AE61-BDD7F5B14A8D,01W/19W,5500,300,WATER,,
7DF95930-914D-4B4D-963E-45CB3D6BCBCA,18W/36W,1150,300,WATER,,
6438BE42-44A0-473B-A7CE-6DF1A2BB8692,03W/21W,5000,300,WATER,,
CE1F9910-0C5F-4654-B625-5829CD7FF957,19-Jan,1100,300,GRASS,,
750D0831-5A67-4F74-9B29-B8E91687E946,22-Apr,850,300,TURF+GRVL,,
